,link,most_freq_positioning
1221,beef,center-bottom
1222,beekeepers,center-bottom
1223,beekeeping,bottom
1224,beer,top
1225,beers,center-bottom
1226,bees,top
1227,beet,bottom
1228,beethoven,center-top
1229,beethoven's,bottom
1230,beetle,top
1231,beetles,center
1232,behaviour,center-top
1233,behistun inscription,center
1234,beijing,top
1235,being a sponsor,center-bottom
1236,beiping,top
1237,beirut,top
1238,beirut's,center
1239,beirutat,bottom
1240,belarus,bottom
1241,belarus child sponsorship,center-bottom
1242,belarusian,center-top
1243,belfast,top
1244,belgian,top
1245,belgians,center-bottom
1246,belgium,top
1247,belize,bottom
1248,belizean,center
1249,bell,top
1250,below,top
1251,ben jonson,center-top
1252,ben nevis,center
1253,benares,center-top
1254,benedict xvi,center-top
1255,benedictine monasteries,center-bottom
1256,benin,bottom
1257,benin child sponsorship,center-bottom
1258,benito mussolini,center-bottom
1259,benjamin britten,bottom
1260,benjamin britten's,bottom
1261,benjamin disraeli,center
1262,benjamin franklin,center-top
1263,benjamin harrison,bottom
1264,benjamin mountfort,center-bottom
1265,benz,center-bottom
1266,benzene,center
1267,berber,top
1268,berber language,top
1269,berber languages,center-bottom
1270,beriberi,center-bottom
1271,berlin,top
1272,berlin wall,center-top
1273,bermuda,center-top
1274,bermudian,top
1275,bernard hinault,center-top
1276,bertrand russell,center-top
1277,beryllium,bottom
1278,besieged,top
1279,besieging,top
1280,beta world cities,center
1281,bette davis,center-top
1282,bhutan,bottom
1283,bhutanese,center-top
1284,bhutani,top
1285,bi,center-top
1286,bible,top
1287,bibles,top
1288,biblical,top
1289,biblical stories,bottom
1290,bicycle,top
1291,bicycle thieves,bottom
1292,bicycles,center
1293,big bang,top
1294,big bang theory,center
1295,bill clinton,bottom
1296,bill gates,bottom
1297,bill of rights,center
1298,billie holiday,center-top
1299,bin laden,center
1300,binary,top
1301,binary central stars,top
1302,binary pair,center-top
1303,binary star,top
1304,binary stars,bottom
1305,binary systems,center-bottom
1306,binoculars,top
1307,binomial,center-bottom
1308,binomial name,top
1309,binomial nomenclature,bottom
1310,bio,top
1311,biodiesel,center-bottom
1312,biodiversity,top
1313,biofuel,top
1314,biofuels,center
1315,bioinformatics,top
1316,bioinformatics and computational biology,bottom
1317,bioinvasion,center-bottom
1318,biological,bottom
1319,biological diversity,center-top
1320,biological role,bottom
1321,biological sciences,center-bottom
1322,biologically,top
1323,biologist,top
1324,biologists,top
1325,biology,top
1326,biomedicine,top
1327,biosphere,bottom
1328,biospheres,bottom
1329,biotech,center-top
1330,biotechnology,center-bottom
1331,bird,top
1332,bird migration,center-top
1333,bird migrations,center-bottom
1334,bird of prey,top
1335,birds,top
1336,birds of prey,top
1337,birmingham,center-bottom
1338,"birmingham, england",top
1339,birth control,center
1340,bishop jocelin,top
1341,bishop of rome,top
1342,bismarck,center-top
1343,bismuth,top
1344,bison,center
1345,bisons,center-bottom
1346,bissau,top
1347,björn borg,center-bottom
1348,bjørnøya,top
1349,bk,center-top
1350,black,top
1351,black death,center-top
1352,black hole,bottom
1353,black holes,center-top
1354,black jaguar,center-top
1355,black pepper,top
1356,black plague,center-bottom
1357,black rhinoceros,top
1358,black sea,top
1359,black seas,top
1360,black wildebeest,top
1361,blackbird,center-bottom
1362,blackbird's,bottom
1363,blackbirds,center-bottom
1364,blackbody radiation,bottom
1365,blackcaps,top
1366,blackjack,center
1367,blackpool,top
1368,blacktip reef shark,top
1369,blacktip reef sharks,center
1370,blade runner,center-bottom
1371,blair,bottom
1372,blair government,top
1373,blaise pascal,top
1374,blessed saviour,center-top
1375,blitz,top
1376,blitzed,top
1377,blitzkrieg,top
1378,blitzkriegs,center
1379,blood for trucks,top
1380,blood group a,center
1381,blood type,top
1382,bloom,top
1383,blue frontier,top
1384,blue jay,top
1385,blue peter,center-bottom
1386,blue shark,center-top
1387,blue sharks,center
1388,blue whale,top
1389,blue wildebeest,center
1390,blue wildebeests,center
1391,bluegrass,top
1392,bluegrass music,bottom
1393,bluejays,top
1394,blues,bottom
1395,bluetooth,top
1396,bmw mini,center-bottom
1397,boa,center-top
1398,board,top
1399,board game,top
1400,board games,top
1401,boas,center
1402,boat,center
1403,boats,top
1404,bob dylan,center
1405,bob dylan's,center-top
1406,bob marley,center
1407,bob sawyer,top
1408,bobcat,center
1409,bobcats,center-bottom
1410,body mass index,top
1411,bodyline,top
1412,boeing 747,center-bottom
1413,boeing 747 classic,bottom
1414,boeing 747s,center-top
1415,boer war,bottom
1416,bog,top
1417,boggy,center-top
1418,bogland,top
1419,bogotá,center-bottom
1420,bogs,center
1421,bohemia and moravia,top
1422,bohemian lands,center
1423,bohr,center-bottom
1424,bohrium,center-bottom
1425,bolivia,top
1426,bolivia child sponsorship,bottom
1427,bolivian,center-top
1428,bologna,top
1429,bolognese,center-bottom
1430,bolshevism,top
1431,bolts,center-bottom
1432,bombay,top
1433,bond,bottom
1434,bonobo,center-bottom
1435,bonobos,top
1436,boobies,center
1437,book,center-bottom
1438,book of common prayer,top
1439,book of kells,center-top
1440,books,top
1441,books of common prayer,top
1442,boolean logic,center-bottom
1443,boolean logical,center-bottom
1444,borges,center-bottom
1445,borh,bottom
1446,boris becker,center
1447,boron,top
1448,bosnia,center-top
1449,bosnia and herzegovina,bottom
1450,bosnia child sponsorship,center-bottom
1451,bosnia-herzegovina,center
1452,bosnian,center
1453,bosnia and herzegovina,bottom
1454,boston,top
1455,boston rfc,center-bottom
1456,boston's,top
1457,"boston, massachusetts",top
1458,bostonian,center-top
1459,bostonians,center-top
1460,botanical,top
1461,botanically,center-top
1462,botanist,center-top
1463,botanists,top
1464,botany,top
1465,botswana,bottom
1466,botswana child sponsorship,center-bottom
1467,botswana with gazza,center
1468,bottlenose dolphin,center-bottom
1469,bottlenose dolphins,top
1470,boudica,center-top
1471,bouvet island,top
1472,bovine,center-top
1473,box jellyfish,bottom
1474,boy scout,center
1475,boy scouts,center
1476,boyle,center-bottom
1477,bp,bottom
1478,bp chemicals,center-top
1479,br,center-top
1480,br2,center
1481,brabantian,center-top
1482,brabham,top
1483,brabham racing organisation,center-top
1484,brachiosaurus,top
1485,brahman,top
1486,brahmanistic,top
1487,brahmanor,center
1488,brain,top
1489,brain scans,center-top
1490,brains,center-top
1491,bran,top
1492,brandon routh,bottom
1493,brass,center-bottom
1494,brass instrument,top
1495,brass instruments,top
1496,brasília,top
1497,bratislava,top
1498,brazil,top
1499,brazil child sponsorship,center-bottom
1500,brazil's,top
1501,brazilian,center-bottom
1502,brazilian diamonds,center
1503,brazilians,center
1504,bre,top
1505,bread,top
1506,breads,center-top
1507,breaker morant,bottom
1508,breakout from normandy,top
1509,breakup,bottom
1510,bretton woods,top
1511,bretton woods agreements,top
1512,bretton woods system,center-bottom
1513,brewer's yeast,top
1514,brewers yeast,top
1515,brick by brick,center-top
1516,bridge,center-top
1517,bridges,top
1518,brighton,center
1519,brighton museum,center-bottom
1520,brisbane,center
1521,bristol,top
1522,bristol medical school,top
1523,brit,center
1524,britain,top
1525,britain and france were at war,center
1526,britain or ireland,top
1527,britain's,top
1528,britannia,top
1529,british,top
1530,british broadcasting corporation,top
1531,british colonial rule,center-top
1532,british colonialism,top
1533,british colonies,center-top
1534,british colonists,center-top
1535,british colony,top
1536,british conquest,center-bottom
1537,british crown,top
1538,british crown jewels,center-bottom
1539,british crown's,center-bottom
1540,british east india company,top
1541,british empire,top
1542,british empire games,bottom
1543,british empires,bottom
1544,british english,top
1545,british flag,bottom
1546,british government,bottom
1547,british house of commons,top
1548,british imperialism,top
1549,british indian ocean territory,center-bottom
1550,british isles,top
1551,british isles (terminology),top
1552,british models,top
1553,british monarch,top
1554,british monarchy,top
1555,british naval,top
1556,british navy,center
1557,british parliament,top
1558,british politics,top
1559,british pound,bottom
1560,british prime minister,top
1561,british prime ministers,bottom
1562,british royal navy,bottom
1563,british rule,top
1564,british sovereign,top
1565,british sovereign base area of dhekelia,center-bottom
1566,british virgin islands,center
1567,british virgin islands,bottom
1568,britney spears,bottom
1569,britons,center-bottom
1570,britten,bottom
1571,broad bean,center
1572,broadbeans,bottom
1573,broadcast,top
1574,broadcaster,center-top
1575,broadcasters,center-bottom
1576,broadcasting,top
1577,broadcasts,center-bottom
1578,broads,center
1579,broke up,center-bottom
1580,bromine,top
1581,bronchogenic carcinoma,top
1582,brontosaurus,center-top
1583,bronze age,top
1584,brothers grimm,center-top
1585,brown,bottom
1586,brown trout,center-bottom
1587,bruce lee,center
1588,bruce springsteen,bottom
1589,brunei,bottom
1590,brunei darussalam,bottom
1591,brunel's,center
1592,brush,center-top
1593,brushes,center-top
1594,brussels,top
1595,brute force,center-bottom
1596,brute force attack,bottom
1597,bryce,center
1598,bryce canyon national park,bottom
1599,bt tower,center
1600,buchanan,center-top
1601,bucharest,center
1602,buckingham house,top
1603,buckingham palace,center
1604,buckminster fuller,center
1605,budapest,top
1606,buddha,bottom
1607,buddha siddhartha gautama,center
1608,buddha siddhartha guatama,center
1609,buddhahood,center
1610,buddhas,top
1611,buddhism,top
1612,buddhist,bottom
1613,buddhist art,center
1614,buddhist faith,top
1615,buddhists,bottom
1616,buenos aires,top
1617,buffalo,center-bottom
1618,buffy the vampire slayer,top
1619,bulgaria,bottom
1620,bulgaria child sponsorship,center-bottom
1621,bulgarian,center
1622,bulgarians,center-top
1623,bull,center
1624,bull shark,top
1625,bull sharks,bottom
1626,burke,center-bottom
1627,burkina faso,bottom
1628,burkina faso child sponsorship,center
1629,burkina faso,bottom
1630,burma,center-bottom
1631,burmese,bottom
1632,burning,bottom
1633,burns,top
1634,burton,center-top
1635,burundi,bottom
1636,burundi child sponsorship,center-bottom
1637,bush,center-bottom
1638,bush (43),center-bottom
1639,bush administration,top
1640,bushbuck,top
1641,bushbucks,center-top
1642,business,top
1643,businesses,center-top
1644,businessman,center-top
1645,businessmen,center
1646,butter,bottom
1647,buttery,top
1648,buttons,center
1649,by name,top
1650,byron,bottom
1651,byronic,bottom
1652,byzantine,top
1653,byzantine emperor,center-top
1654,byzantine emperors,center-top
1655,byzantine empire,top
1656,byzantine empires,bottom
1657,byzantine greek,top
1658,byzantine greeks,top
1659,byzantines,top
1660,byzantium,center
1661,c,top
1662,c++,center
1663,c-t boundary,bottom
1664,c. s. lewis,bottom
1665,ca,center
1666,cache memories,center-bottom
1667,cacl2,center-top
1668,cacti,center
1669,cactii,center-top
1670,cactus,top
1671,cadmium,center-top
1672,cae,center-bottom
1673,caesar,center-top
1674,caesar augustus,top
1675,caesar cipher,top
1676,caesar ciphers,center
1677,caesarean,bottom
1678,caesium,top
1679,cai lun,top
1680,cairo,top
1681,calcified,top
1682,calcite,top
1683,calcium,center-bottom
1684,calcium chloride,center-bottom
1685,calculating local time,center
1686,calculus,top
1687,calcutta,center-top
1688,calgary,center
1689,california,top
1690,california southern railroad,top
1691,california state quarter,center-top
1692,california's,center
1693,californian,bottom
1694,californium,bottom
1695,callaghan,bottom
1696,calligraphers,top
1697,calligraphy,bottom
1698,caloris basin,center-top
1699,calvin,top
1700,calvin and hobbes,center-bottom
1701,calvin coolidge,center
1702,calvinball,bottom
1703,camarasaur,center
1704,camarasaurus,top
1705,cambodia,bottom
1706,cambodia child sponsorship,center-bottom
1707,cambodian,center-bottom
1708,cambodians,bottom
1709,cambrian,top
1710,cambrian explosion,top
1711,cambridge,top
1712,cambridge university,top
1713,camel,top
1714,camels,top
1715,cameroon,bottom
1716,cameroon child sponsorship,center-bottom
1717,camp mauthausen,center-top
1718,campbellian,bottom
1719,canada,top
1720,canada child sponsorship,center-top
1721,canada geese,bottom
1722,canada goose,center-bottom
1723,canada's,center
1724,canada's charter of rights and freedoms,center
1725,canadian,top
1726,canadian charter of rights and freedoms,center-top
1727,canadian english,top
1728,canadian football,top
1729,canadian house of commons,bottom
1730,canadian pacific railway,top
1731,canadian pacific railway (cpr),bottom
1732,canadian parliament,center-top
1733,canadian rules,top
1734,canadian senate,center-top
1735,canadians,center
1736,canal,top
1737,canalettos,center-bottom
1738,canals,center-top
1739,canberra,top
1740,cancer,center-bottom
1741,cancerous,center-top
1742,cancers,top
1743,cane sugar,bottom
1744,cane toad,center
1745,canis lupus,center-bottom
1746,canis mesomelas,top
1747,canis simensis,top
1748,cannae,bottom
1749,canola,center-top
1750,canterbury,center-bottom
1751,canterbury and anglicanism,center
1752,canterbury cathedral,bottom
1753,canterbury monks,center
1754,canton,center-top
1755,cantonese,center-top
1756,cantor,center-bottom
